state,x,y
Andhra Pradesh,-68,-127
Arunachal Pradesh,184,106
Assam,141,67
Bihar,49,52
Goa,-137,-122
Gujarat,-177,15
Haryana,-98,113
Himachal Pradesh,-75,158
Jharkhand,35,14
Karnataka,-117,-143
Kerala,-100,-217
Madhya Pradesh,-81,8
Maharashtra,-125,-55
Manipur,169,41
Meghalaya,130,50
Mizoram,157,11
Nagaland,178,64
Odisha,25,-33
Punjab,-106,143
Rajasthan,-147,71
Sikkim,92,84
Tamil Nadu,-76,-193
Telangana,-59,-81
Tripura,139,21
Uttar Pradesh,-33,73
Uttarakhand,-50,133
West Bengal,75,8
Delhi,-78,105
Jammu and Kashmir,-111,195
Ladakh,-72,211
Lakshadweep,-195,-181
Chandigarh,-79,136
Andaman and Nicobar,102,-129
